lc-chi-0,lc-chi-1,lc-chi-2,lc-chi-3,lc-Z-0,lc-Z-1,lc-Z-2,lc-Z-3,lc-I-0,lc-I-1,lc-I-2,lc-I-3,lc-T-0,lc-T-1,lc-T-2,lc-T-3,lc-S-0,lc-S-1,lc-S-2,lc-S-3,lc-alpha-0,lc-alpha-1,lc-alpha-2,lc-alpha-3,D_lc-chi-0,D_lc-chi-1,D_lc-chi-2,D_lc-chi-3,D_lc-Z-0,D_lc-Z-1,D_lc-Z-2,D_lc-Z-3,D_lc-I-0,D_lc-I-1,D_lc-I-2,D_lc-I-3,D_lc-T-0,D_lc-T-1,D_lc-T-2,D_lc-T-3,D_lc-S-0,D_lc-S-1,D_lc-S-2,D_lc-S-3,D_lc-alpha-0,D_lc-alpha-1,D_lc-alpha-2,D_lc-alpha-3,func-chi-0,func-chi-1,func-chi-2,func-chi-3,func-Z-0,func-Z-1,func-Z-2,func-Z-3,func-I-0,func-I-1,func-I-2,func-I-3,func-T-0,func-T-1,func-T-2,func-T-3,func-S-0,func-S-1,func-S-2,func-S-3,func-alpha-0,func-alpha-1,func-alpha-2,func-alpha-3,D_func-chi-0,D_func-chi-1,D_func-chi-2,D_func-chi-3,D_func-Z-0,D_func-Z-1,D_func-Z-2,D_func-Z-3,D_func-I-0,D_func-I-1,D_func-I-2,D_func-I-3,D_func-T-0,D_func-T-1,D_func-T-2,D_func-T-3,D_func-S-0,D_func-S-1,D_func-S-2,D_func-S-3,D_func-alpha-0,D_func-alpha-1,D_func-alpha-2,D_func-alpha-3,name
10.9696,11.015999999999998,23.7184,26.62693333333333,59.0,60.0,119.0,134.33333333333334,1.0,1.3333333333333333,2.6666666666666665,3.0,2.0,6.0,9.333333333333334,9.666666666666666,0.5427666666666666,0.7597333333333335,1.4000000000000001,1.5871000000000002,36.980000000000004,95.67333333333333,153.39087133333337,165.97420466666668,0.0,0.9200000000000003,1.3633333333333335,1.3633333333333335,0.0,2.0,4.333333333333333,4.333333333333333,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.040000000000000036,0.07999999999999996,0.07999999999999996,0.0,-6.6000000000000005,-6.9357033333333336,-6.9357033333333336,11.833599999999999,8.771999999999998,20.605599999999995,18.386799999999997,64.0,48.0,112.0,100.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.5,0.5328999999999999,0.5621,1.095,1.1169,28.09,59.89,87.98,109.445,0.0,0.8900000000000001,0.8900000000000001,1.5350000000000001,0.0,2.0,2.0,3.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.5,0.0,-0.040000000000000036,-0.040000000000000036,-0.07000000000000006,0.0,-6.000000000000001,-6.000000000000001,-10.05,FIVZEQ
10.9696,11.015999999999998,23.7184,26.62693333333333,59.0,60.0,119.0,134.33333333333334,1.0,1.3333333333333333,2.6666666666666665,3.0,2.0,6.0,9.333333333333334,9.666666666666666,0.5427666666666666,0.7597333333333335,1.3999999999999997,1.5871000000000002,36.98,95.67333333333333,153.39087133333337,165.97420466666665,0.0,0.9200000000000003,1.3633333333333335,1.3633333333333335,0.0,2.0,4.333333333333333,4.333333333333333,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.040000000000000036,0.07999999999999996,0.07999999999999996,0.0,-6.600000000000001,-6.9357033333333336,-6.9357033333333336,11.833599999999999,8.771999999999998,20.605599999999995,18.386799999999997,64.0,48.0,112.0,100.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.5,0.5328999999999999,0.5621,1.095,1.1169,28.09,59.89,87.98,109.445,0.0,0.8900000000000001,0.8900000000000001,1.5350000000000001,0.0,2.0,2.0,3.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.5,0.0,-0.040000000000000036,-0.040000000000000036,-0.07000000000000006,0.0,-6.000000000000001,-6.000000000000001,-10.05,FIVZEQ
6.5024999999999995,6.5024999999999995,17.7225,17.7225,36.0,36.0,48.0,48.0,1.0,1.0,3.0,3.0,1.0,4.0,6.0,6.0,0.5929,0.5929,1.1627,1.1626999999999998,127.69000000000001,127.69000000000001,229.550686,229.550686,0.0,0.0,0.6999999999999993,0.6999999999999993,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.8,0.8,0.0,0.0,13.585780000000002,13.585780000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FIVZEQ
6.5024999999999995,6.5024999999999995,17.7225,17.7225,36.0,36.0,48.0,48.0,1.0,1.0,3.0,3.0,1.0,4.0,6.0,6.0,0.5929,0.5929,1.1626999999999998,1.1626999999999998,127.69000000000001,127.69000000000001,229.550686,229.550686,0.0,0.0,0.6999999999999993,0.6999999999999993,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.8,0.8,0.0,0.0,13.585780000000002,13.585780000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FIVZEQ
6.5024999999999995,6.5024999999999995,17.7225,17.7225,36.0,36.0,48.0,48.0,1.0,1.0,3.0,3.0,1.0,4.0,6.0,6.0,0.5929,0.5929,1.1626999999999998,1.1626999999999998,127.69000000000001,127.69000000000001,229.550686,229.550686,0.0,0.0,0.6999999999999993,0.6999999999999993,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.8,0.8,0.0,0.0,13.585780000000002,13.585780000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FIVZEQ
10.9696,11.015999999999998,23.7184,26.62693333333333,59.0,60.0,119.0,134.33333333333334,1.0,1.3333333333333333,2.6666666666666665,3.0,2.0,6.0,9.333333333333334,9.666666666666666,0.5427666666666666,0.7597333333333335,1.4000000000000001,1.5871000000000002,36.98,95.67333333333333,153.39087133333337,165.97420466666665,0.0,0.9200000000000003,1.3633333333333335,1.3633333333333335,0.0,2.0,4.333333333333333,4.333333333333333,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.040000000000000036,0.07999999999999996,0.07999999999999996,0.0,-6.600000000000001,-6.9357033333333336,-6.9357033333333336,11.833599999999999,8.771999999999998,20.605599999999995,18.386799999999997,64.0,48.0,112.0,100.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.5,0.5328999999999999,0.5621,1.095,1.1169,28.09,59.89,87.98,109.445,0.0,0.8900000000000001,0.8900000000000001,1.5350000000000001,0.0,2.0,2.0,3.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.5,0.0,-0.040000000000000036,-0.040000000000000036,-0.07000000000000006,0.0,-6.000000000000001,-6.000000000000001,-10.05,FIVZEQ
10.9696,11.015999999999998,23.7184,26.62693333333333,59.0,60.0,119.0,134.33333333333334,1.0,1.3333333333333333,2.6666666666666665,3.0,2.0,6.0,9.333333333333334,9.666666666666666,0.5427666666666666,0.7597333333333335,1.4000000000000001,1.5871000000000002,36.980000000000004,95.67333333333333,153.39087133333337,165.97420466666665,0.0,0.9200000000000003,1.3633333333333335,1.3633333333333335,0.0,2.0,4.333333333333333,4.333333333333333,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.040000000000000036,0.07999999999999996,0.07999999999999996,0.0,-6.6000000000000005,-6.9357033333333336,-6.9357033333333336,11.833599999999999,8.771999999999998,20.605599999999995,18.386799999999997,64.0,48.0,112.0,100.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.5,0.5328999999999999,0.5621,1.095,1.1169,28.09,59.89,87.98,109.445,0.0,0.8900000000000001,0.8900000000000001,1.5350000000000001,0.0,2.0,2.0,3.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.5,0.0,-0.040000000000000036,-0.040000000000000036,-0.07000000000000006,0.0,-6.000000000000001,-6.000000000000001,-10.05,FIVZEQ
6.5024999999999995,6.5024999999999995,17.7225,17.7225,36.0,36.0,48.0,48.0,1.0,1.0,3.0,3.0,1.0,4.0,6.0,6.0,0.5929,0.5929,1.1626999999999998,1.1627,127.69000000000001,127.69000000000001,229.550686,229.550686,0.0,0.0,0.6999999999999993,0.6999999999999993,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.8,0.8,0.0,0.0,13.585780000000002,13.585780000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FIVZEQ
6.5024999999999995,6.5024999999999995,17.7225,17.7225,36.0,36.0,48.0,48.0,1.0,1.0,3.0,3.0,1.0,4.0,6.0,6.0,0.5929,0.5929,1.1626999999999998,1.1627,127.69000000000001,127.69000000000001,229.550686,229.550686,0.0,0.0,0.6999999999999993,0.6999999999999993,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.8,0.8,0.0,0.0,13.585780000000002,13.585780000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FIVZEQ
10.9696,11.015999999999998,23.7184,26.62693333333333,59.0,60.0,119.0,134.33333333333334,1.0,1.3333333333333333,2.6666666666666665,3.0,2.0,6.0,9.333333333333334,9.666666666666666,0.5427666666666666,0.7597333333333335,1.3999999999999997,1.5871000000000002,36.98,95.67333333333333,153.39087133333337,165.97420466666665,0.0,0.9200000000000003,1.3633333333333335,1.3633333333333335,0.0,2.0,4.333333333333333,4.333333333333333,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.040000000000000036,0.07999999999999996,0.07999999999999996,0.0,-6.600000000000001,-6.9357033333333336,-6.9357033333333336,11.833599999999999,8.771999999999998,20.605599999999995,18.386799999999997,64.0,48.0,112.0,100.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.5,0.5328999999999999,0.5621,1.095,1.1169,28.09,59.89,87.98,109.445,0.0,0.8900000000000001,0.8900000000000001,1.5350000000000001,0.0,2.0,2.0,3.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.5,0.0,-0.040000000000000036,-0.040000000000000036,-0.07000000000000006,0.0,-6.000000000000001,-6.000000000000001,-10.05,FIVZEQ
10.9696,11.015999999999998,23.7184,26.62693333333333,59.0,60.0,119.0,134.33333333333334,1.0,1.3333333333333333,2.6666666666666665,3.0,2.0,6.0,9.333333333333334,9.666666666666666,0.5427666666666666,0.7597333333333335,1.4000000000000001,1.5871000000000002,36.980000000000004,95.67333333333333,153.39087133333337,165.97420466666665,0.0,0.9200000000000003,1.3633333333333335,1.3633333333333335,0.0,2.0,4.333333333333333,4.333333333333333,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.040000000000000036,0.07999999999999996,0.07999999999999996,0.0,-6.6000000000000005,-6.9357033333333336,-6.9357033333333336,11.833599999999999,8.771999999999998,20.605599999999995,18.386799999999997,64.0,48.0,112.0,100.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.5,0.5328999999999999,0.5621,1.095,1.1169,28.09,59.89,87.98,109.445,0.0,0.8900000000000001,0.8900000000000001,1.5350000000000001,0.0,2.0,2.0,3.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.5,0.0,-0.040000000000000036,-0.040000000000000036,-0.07000000000000006,0.0,-6.000000000000001,-6.000000000000001,-10.05,FIVZEQ
6.5024999999999995,6.5024999999999995,17.7225,17.7225,36.0,36.0,48.0,48.0,1.0,1.0,3.0,3.0,1.0,4.0,6.0,6.0,0.5929,0.5929,1.1626999999999998,1.1626999999999998,127.69000000000001,127.69000000000001,229.550686,229.550686,0.0,0.0,0.6999999999999993,0.6999999999999993,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.8,0.8,0.0,0.0,13.585780000000002,13.585780000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FIVZEQ
10.9696,11.015999999999998,23.7184,26.62693333333333,59.0,60.0,119.0,134.33333333333334,1.0,1.3333333333333333,2.6666666666666665,3.0,2.0,6.0,9.333333333333334,9.666666666666666,0.5427666666666666,0.7597333333333335,1.3999999999999997,1.5871000000000002,36.980000000000004,95.67333333333333,153.39087133333337,165.97420466666668,0.0,0.9200000000000003,1.3633333333333335,1.3633333333333335,0.0,2.0,4.333333333333333,4.333333333333333,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.040000000000000036,0.07999999999999996,0.07999999999999996,0.0,-6.6000000000000005,-6.9357033333333336,-6.9357033333333336,11.833599999999999,8.771999999999998,20.605599999999995,18.386799999999997,64.0,48.0,112.0,100.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.5,0.5328999999999999,0.5621,1.095,1.1169,28.09,59.89,87.98,109.445,0.0,0.8900000000000001,0.8900000000000001,1.5350000000000001,0.0,2.0,2.0,3.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.5,0.0,-0.040000000000000036,-0.040000000000000036,-0.07000000000000006,0.0,-6.000000000000001,-6.000000000000001,-10.05,FIVZEQ
6.5024999999999995,6.5024999999999995,17.7225,17.7225,36.0,36.0,48.0,48.0,1.0,1.0,3.0,3.0,1.0,4.0,6.0,6.0,0.5929,0.5929,1.1626999999999998,1.1626999999999998,127.69000000000001,127.69000000000001,229.550686,229.550686,0.0,0.0,0.6999999999999993,0.6999999999999993,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.8,0.8,0.0,0.0,13.585780000000002,13.585780000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FIVZEQ
10.9696,11.015999999999998,23.7184,26.62693333333333,59.0,60.0,119.0,134.33333333333334,1.0,1.3333333333333333,2.6666666666666665,3.0,2.0,6.0,9.333333333333334,9.666666666666666,0.5427666666666666,0.7597333333333335,1.4000000000000001,1.5871000000000002,36.980000000000004,95.67333333333333,153.39087133333337,165.97420466666665,0.0,0.9200000000000003,1.3633333333333335,1.3633333333333335,0.0,2.0,4.333333333333333,4.333333333333333,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.040000000000000036,0.07999999999999996,0.07999999999999996,0.0,-6.6000000000000005,-6.9357033333333336,-6.9357033333333336,11.833599999999999,8.771999999999998,20.605599999999995,18.386799999999997,64.0,48.0,112.0,100.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.5,0.5328999999999999,0.5621,1.095,1.1169,28.09,59.89,87.98,109.445,0.0,0.8900000000000001,0.8900000000000001,1.5350000000000001,0.0,2.0,2.0,3.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.5,0.0,-0.040000000000000036,-0.040000000000000036,-0.07000000000000006,0.0,-6.000000000000001,-6.000000000000001,-10.05,FIVZEQ
6.5024999999999995,6.5024999999999995,17.7225,17.7225,36.0,36.0,48.0,48.0,1.0,1.0,3.0,3.0,1.0,4.0,6.0,6.0,0.5929,0.5929,1.1626999999999998,1.1627,127.69000000000001,127.69000000000001,229.550686,229.550686,0.0,0.0,0.6999999999999993,0.6999999999999993,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.8,0.8,0.0,0.0,13.585780000000002,13.585780000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FIVZEQ
10.9696,11.015999999999998,23.7184,26.62693333333333,59.0,60.0,119.0,134.33333333333334,1.0,1.3333333333333333,2.6666666666666665,3.0,2.0,6.0,9.333333333333334,9.666666666666666,0.5427666666666666,0.7597333333333335,1.4000000000000001,1.5871000000000002,36.980000000000004,95.67333333333333,153.39087133333337,165.97420466666668,0.0,0.9200000000000003,1.3633333333333335,1.3633333333333335,0.0,2.0,4.333333333333333,4.333333333333333,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.040000000000000036,0.07999999999999996,0.07999999999999996,0.0,-6.6000000000000005,-6.9357033333333336,-6.9357033333333336,11.833599999999999,8.771999999999998,20.605599999999995,18.386799999999997,64.0,48.0,112.0,100.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.5,0.5328999999999999,0.5621,1.095,1.1169,28.09,59.89,87.98,109.445,0.0,0.8900000000000001,0.8900000000000001,1.5350000000000001,0.0,2.0,2.0,3.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.5,0.0,-0.040000000000000036,-0.040000000000000036,-0.07000000000000006,0.0,-6.000000000000001,-6.000000000000001,-10.05,FIVZEQ
10.9696,11.015999999999998,23.7184,26.62693333333333,59.0,60.0,119.0,134.33333333333334,1.0,1.3333333333333333,2.6666666666666665,3.0,2.0,6.0,9.333333333333334,9.666666666666666,0.5427666666666666,0.7597333333333335,1.4000000000000001,1.5871000000000002,36.98,95.67333333333333,153.39087133333337,165.97420466666668,0.0,0.9200000000000003,1.3633333333333335,1.3633333333333335,0.0,2.0,4.333333333333333,4.333333333333333,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.040000000000000036,0.07999999999999996,0.07999999999999996,0.0,-6.600000000000001,-6.9357033333333336,-6.9357033333333336,11.833599999999999,8.771999999999998,20.605599999999995,18.386799999999997,64.0,48.0,112.0,100.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.5,0.5328999999999999,0.5621,1.095,1.1169,28.09,59.89,87.98,109.445,0.0,0.8900000000000001,0.8900000000000001,1.5350000000000001,0.0,2.0,2.0,3.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.5,0.0,-0.040000000000000036,-0.040000000000000036,-0.07000000000000006,0.0,-6.000000000000001,-6.000000000000001,-10.05,FIVZEQ
6.5024999999999995,6.5024999999999995,17.7225,17.7225,36.0,36.0,48.0,48.0,1.0,1.0,3.0,3.0,1.0,4.0,6.0,6.0,0.5929,0.5929,1.1626999999999998,1.1626999999999998,127.69000000000001,127.69000000000001,229.550686,229.550686,0.0,0.0,0.6999999999999993,0.6999999999999993,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.8,0.8,0.0,0.0,13.585780000000002,13.585780000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FIVZEQ
6.5024999999999995,6.5024999999999995,17.7225,17.7225,36.0,36.0,48.0,48.0,1.0,1.0,3.0,3.0,1.0,4.0,6.0,6.0,0.5929,0.5929,1.1627,1.1626999999999998,127.69000000000001,127.69000000000001,229.550686,229.550686,0.0,0.0,0.6999999999999993,0.6999999999999993,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.8,0.8,0.0,0.0,13.585780000000002,13.585780000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FIVZEQ
10.9696,11.015999999999998,23.7184,26.62693333333333,59.0,60.0,119.0,134.33333333333334,1.0,1.3333333333333333,2.6666666666666665,3.0,2.0,6.0,9.333333333333334,9.666666666666666,0.5427666666666666,0.7597333333333335,1.4000000000000001,1.5871000000000002,36.98,95.67333333333333,153.39087133333337,165.97420466666668,0.0,0.9200000000000003,1.3633333333333335,1.3633333333333335,0.0,2.0,4.333333333333333,4.333333333333333,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.040000000000000036,0.07999999999999996,0.07999999999999996,0.0,-6.600000000000001,-6.9357033333333336,-6.9357033333333336,11.833599999999999,8.771999999999998,20.605599999999995,18.386799999999997,64.0,48.0,112.0,100.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.5,0.5328999999999999,0.5621,1.095,1.1169,28.09,59.89,87.98,109.445,0.0,0.8900000000000001,0.8900000000000001,1.5350000000000001,0.0,2.0,2.0,3.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.5,0.0,-0.040000000000000036,-0.040000000000000036,-0.07000000000000006,0.0,-6.000000000000001,-6.000000000000001,-10.05,FIVZEQ
6.5024999999999995,6.5024999999999995,17.7225,17.7225,36.0,36.0,48.0,48.0,1.0,1.0,3.0,3.0,1.0,4.0,6.0,6.0,0.5929,0.5929,1.1626999999999998,1.1626999999999998,127.69000000000001,127.69000000000001,229.550686,229.550686,0.0,0.0,0.6999999999999993,0.6999999999999993,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.8,0.8,0.0,0.0,13.585780000000002,13.585780000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FIVZEQ
10.9696,11.015999999999998,23.7184,26.62693333333333,59.0,60.0,119.0,134.33333333333334,1.0,1.3333333333333333,2.6666666666666665,3.0,2.0,6.0,9.333333333333334,9.666666666666666,0.5427666666666666,0.7597333333333335,1.4000000000000001,1.5871000000000002,36.980000000000004,95.67333333333333,153.39087133333337,165.97420466666665,0.0,0.9200000000000003,1.3633333333333335,1.3633333333333335,0.0,2.0,4.333333333333333,4.333333333333333,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,0.0,-0.040000000000000036,0.07999999999999996,0.07999999999999996,0.0,-6.6000000000000005,-6.9357033333333336,-6.9357033333333336,11.833599999999999,8.771999999999998,20.605599999999995,18.386799999999997,64.0,48.0,112.0,100.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.5,0.5328999999999999,0.5621,1.095,1.1169,28.09,59.89,87.98,109.445,0.0,0.8900000000000001,0.8900000000000001,1.5350000000000001,0.0,2.0,2.0,3.5,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-3.5,0.0,-0.040000000000000036,-0.040000000000000036,-0.07000000000000006,0.0,-6.000000000000001,-6.000000000000001,-10.05,FIVZEQ
6.5024999999999995,6.5024999999999995,17.7225,17.7225,36.0,36.0,48.0,48.0,1.0,1.0,3.0,3.0,1.0,4.0,6.0,6.0,0.5929,0.5929,1.1627,1.1626999999999998,127.69000000000001,127.69000000000001,229.550686,229.550686,0.0,0.0,0.6999999999999993,0.6999999999999993,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.8,0.8,0.0,0.0,13.585780000000002,13.585780000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FIVZEQ
